"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14340","Customer data Thrd Customer","chromium","2026-09-21","passed","2026-09-21","ERP module with excel","UsingExcelData.spec.ts","",""
"","14964","Customer module","chromium","2026-09-21","passed","2026-09-21","ERP inverntory management","ERPSingleData.spec.ts","",""
"","16049","supplier data Jolie","chromium","2026-09-21","passed","2026-09-21","ERP modules","ERPJsonData.spec.ts","",""
"","16380","Supplier data Fir Supplier","chromium","2026-09-21","passed","2026-09-21","ERP module with excel","UsingExcelData.spec.ts","",""
"","15741","customer data Jolie","chromium","2026-09-21","passed","2026-09-21","ERP modules","ERPJsonData.spec.ts","",""
"","14937","Supplier data Thrd Supllier","chromium","2026-09-21","passed","2026-09-21","ERP module with excel","UsingExcelData.spec.ts","",""
"","14680","Supplier data For Supllier","chromium","2026-09-21","passed","2026-09-21","ERP module with excel","UsingExcelData.spec.ts","",""
"","15116","Customer data Forth Customer","chromium","2026-09-21","passed","2026-09-21","ERP module with excel","UsingExcelData.spec.ts","",""
"","15115","Supplier data Sec Supllier","chromium","2026-09-21","passed","2026-09-21","ERP module with excel","UsingExcelData.spec.ts","",""
"","16740","Supper with single data","chromium","2026-09-21","passed","2026-09-21","ERP inverntory management","ERPSingleData.spec.ts","",""
"","15562","Supplier data Fif Supllier","chromium","2026-09-21","passed","2026-09-21","ERP module with excel","UsingExcelData.spec.ts","",""
"","15063","Customer data Sec Customer","chromium","2026-09-21","passed","2026-09-21","ERP module with excel","UsingExcelData.spec.ts","",""
"","14978","Customer data Fst Customer","chromium","2026-09-21","passed","2026-09-21","ERP module with excel","UsingExcelData.spec.ts","",""
"","15777","supplier data Angelina","chromium","2026-09-21","passed","2026-09-21","ERP modules","ERPJsonData.spec.ts","",""
"","15311","customer data A Jolie","chromium","2026-09-21","passed","2026-09-21","ERP modules","ERPJsonData.spec.ts","",""
